CSE,1,CH101
CSE,1,CH110
CSE,1,EE101
CSE,1,MA101
CSE,1,CE101
CSE,1,PH101
CSE,1,PH110
CSE,1,HS101
CSE,2,BT101
CSE,2,CS101
CSE,2,CS110
CSE,2,EE102
CSE,2,MA102
CSE,2,ME101
CSE,2,PH102
CSE,2,PH110
CSE,2,SA1xx
CSE,3,MA222
CSE,3,MA225
CSE,3,CS201
CSE,3,CS203
CSE,3,CS204
CSE,3,CS221
CSE,3,CS242
CSE,3,SA2xx
CSE,3,HS200
CSE,3,XX101M
CSE,4,CS205
CSE,4,CS207
CSE,4,CS223
CSE,4,CS224
CSE,4,CS245
CSE,4,CS246
CSE,4,HS1xx
CSE,4,SA3xx
CSE,4,XX102M
CSE,5,MA321
CSE,5,CS341
CSE,5,CS342
CSE,5,CS343
CSE,5,CS344
CSE,5,CSxxx
CSE,5,HS1xx
CSE,5,SA4xx
CSE,5,XX103M
CSE,6,CS345
CSE,6,CS346
CSE,6,CS348
CSE,6,CS361
CSE,6,CSxxx
CSE,6,CSxxx
CSE,6,CSxxx
CSE,6,XX104M
CSE,7,OE4xx
CSE,7,OExxx
CSE,7,CSxxx
CSE,7,CSxxx
CSE,7,CSxxx
CSE,7,CS498
CSE,7,HS2xx
CSE,7,XX105M
CSE,8,OExxx
CSE,8,OExxx
CSE,8,CSxxx
CSE,8,CSxxx
CSE,8,CSxxx
CSE,8,CS499
CSE,8,HS2xx
